"","mine","latitude","longitude","metals_all","mine_type"
"1","Abagas",53.2810052,89.5887663,"Iron","Open pit"
"2","Aijala",53.2810052,89.5887663,"Iron","Open pit"
"3","Aitik",63.8215373,24.9882165,"Nickel","Surface mine"
"4","Aitik",63.8215373,24.9882165,"Copper","Surface mine"
"5","Aitik",63.8215373,24.9882165,"Zinc","Surface mine"
"6","Aitik",63.8215373,24.9882165,"Lead","Surface mine"
"7","Alaska-Gastineau",63.8215373,24.9882165,"Nickel","Surface mine"
"8","Alaska-Gastineau",63.8215373,24.9882165,"Copper","Surface mine"
"9","Alaska-Gastineau",63.8215373,24.9882165,"Zinc","Surface mine"
"10","Alaska-Gastineau",63.8215373,24.9882165,"Lead","Surface mine"
"11","Alaska-Juneau",63.8215373,24.9882165,"Nickel","Surface mine"
"12","Alaska-Juneau",63.8215373,24.9882165,"Copper","Surface mine"
"13","Alaska-Juneau",63.8215373,24.9882165,"Zinc","Surface mine"
"14","Alaska-Juneau",63.8215373,24.9882165,"Lead","Surface mine"
"15","Alaska-Juneau",67.0732977,20.9619407,"Copper","Open pit"
"16","Aldermac",58.2950105,-134.4159769,"Gold","Unclear"
"17","Altay",58.2950105,-134.4159769,"Gold","Unclear"
"18","Amax/Kitsault",58.2950105,-134.4159769,"Gold","Unclear"
"19","Amax/Kitsault",58.2630977,-134.341188,"Gold","Unclear"
"20","Ammeberg",48.2526417,-79.4792361,"Zinc","Unclear"
"21","Ammeberg",48.2526417,-79.4792361,"Copper","Unclear"
"22","Anaconda",55.4692038,60.200233,"Zinc","Unclear"
"23","Anaconda",55.4692038,60.200233,"Gold","Unclear"
"24","Apatity",55.4692038,60.200233,"Zinc","Unclear"
"25","Apatity",55.4692038,60.200233,"Gold","Unclear"
"26","Apatity",55.4692038,60.200233,"Zinc","Unclear"
"27","Apatity",55.4692038,60.200233,"Gold","Unclear"
"28","Apollo",55.4692038,60.200233,"Zinc","Unclear"
"29","Apollo",55.4692038,60.200233,"Gold","Unclear"
"30","Arctic Gold and Silver",55.474535,-129.4872477,"Molybdenum","Open pit"
"31","Arctic Gold and Silver",55.474535,-129.4872477,"Lead","Open pit"
"32","Arctic Gold and Silver",55.474535,-129.4872477,"Zinc","Open pit"
