article_id,review_id,eppi_id,citation,authors,title,year,type,journal,country,region,location,mine,latitude,longitude,unique_mine,metals,multiple_metals,metals_all,mine_type,stage_prospecting,stage_exploration,stage_construction,stage_operation,stage_decommissioning_closure,stage_postclosure,stage_remediation,stage_abandonment,stage_expansion,comment,study_design,study_design_comments,comparator,setting,context,population_description,population_system,affected_system,affected_component,affected_factor,impact_pathway,mitigation,mitigation_description,mitigation_focal_impact,outcome_measured,outcome_category,data_type,data_source,notes,link
150,AS,,"Zenkov IV, Nefedov BN, Zayats VV, and Kiryushina EV. 2018. Remote monitoring of mining situation and disturbed land ecology at the Teisk and Abagas iron ore deposits. Environmental Protection. 1: 41-44","Zenkov IV, Nefedov BN, Zayats VV, and Kiryushina EV",Remote monitoring of mining situation and disturbed land ecology at the Teisk and Abagas iron ore deposits,2018,Article,Environmental Protection,Russia,Republic of Khakassia,Kola Peninsula,Abagas; Teisk,53.2810052,89.5887663,Multiple,Iron,N/A,Iron,Open pit,N,N,N,N,N,N,N,Y,N,,Correlative,"Based on the interpretation of satellite images over monitoring period from 1998-2016, the change in the bold area at the depleted deposits is determined. The dynamics and structure of vegetable blanket in the open pit mines, at the dumps and tailings pond is revealed",Background values,Field,ex situ,Vegetative cover,Environmental,4-Biodiversity,4A-Flora,4A-Species groups,Disturbed land area of open pit mines,no,N/A,N/A,Area of cover; vegetation recovery rate,Flow/landscape change,Quantitative,Figure 3,,http://scholar.google.co.uk/scholar?q=Remote+monitoring+of+mining+situation+and+disturbed+land+ecology+at+the+Teisk+and+Abagas+iron+ore+de&btnG=&hl=en&as_sdt=0%2C5
535,AS,,Sipila P and Salminen R. 1995. Environmental impact of three sulphide mine tailings in Finland. Geological Survey of Finland Special Paper. 20: 107-114,Sipila P and Salminen R,Environmental impact of three sulphide mine tailings in Finland,1995,Article,Geological Survey of Finland Special Paper,Finland,Regional,Regional,Aijala; Makola; Pyhäsalmi,63.8215373,24.9882165,Multiple,Multiple,Nickel; Copper; Zinc; Lead,Nickel; Copper; Zinc; Lead,Surface mine,N,N,N,N,N,N,N,Y,N,Three mines across Finland,Correlative,"Ascertain the extent to which the tailings areas impact on the environment, soils were taken from soil beneath and surrounding the tailing dumps.",Background values,Lab Experiment,ex situ,Sediment profiles,Environmental,1-Soil/Geology,1A-Soil surface,1A-Quality,Tailings dumps,no,N/A,N/A,Metal concentrations,Metal concentration,Quantitative,Figure 1-5,,http://scholar.google.co.uk/scholar?q=Environmental+impact+of+three+sulphide+mine+tailings+in+Finland&btnG=&hl=en&as_sdt=0%2C5
8,AS/JT,,"Ermakov VV, Korobova EM, Degtyarev AP, Tyutikov SF, Karpova EA, and Petrunina NS. 2016. Impact of natural and man-made factors on migration of heavy metals in the Ardon River basin (North Ossetia). J Soils Sediments. 16: 1253–1266","Ermakov VV, Korobova EM, Degtyarev AP, Tyutikov SF, Karpova EA, and Petrunina NS",Impact of natural and man-made factors on migration of heavy metals in the Ardon River basin (North Ossetia),2016,Article,Journal of Soils Sediments,Russia,North Ossetia,Ardon River,Misur,43.23833,44.31444,Misur,Multiple,Lead; Zinc,Lead; Zinc,Unclear,N,N,N,Y,N,N,N,N,N,,BACI,"Biogeochemical studies of the area were performed in 2001, 2003, and 2008 to reveal the impact of environmental and technogenic factors on chemical composition of the main components of the Pb-Zn natural biogeochemical province and its dynamics.",Reference site/population,Field + Lab analysis,in situ,Some parameters of water samples collected in the basin of the Ardon River,Environmental,2-Water,2A-Surface water,2A-Quality ,Contamination of the area by heavy metals during natural and technogenic events.,no,N/A,N/A,Concentration of heavy metals in soils,Metal concentration,Quantitative,Section 4.2,,http://scholar.google.co.uk/scholar?q=Impact+of+natural+and+man-made+factors+on+migration+of+heavy+metals+in+the+Ardon+River+basin+(North+&btnG=&hl=en&as_sdt=0%2C5
484,AS,,"Stone RP and Johnson SW. 1997. Survival, growth, and bioaccumulation of heavy metals by juvenile tanner crabs (Chionoecetes bairdi) held on weathered mine tailings. Bull. Environ. Contam. Toxicol. 58: 830-837.",Stone RP and Johnson SW,"Survival, growth, and bioaccumulation of heavy metals by juvenile tanner crabs (Chionoecetes bairdi) held on weathered mine tailings",1997,Article,Bulletin of Environmental Contamination and Toxicology,USA,Alaska,Gastineau Channel,Alaska-Gastineau; Alaska-Juneau; Treadwell,58.2950105,-134.4159769,Multiple,Gold,N/A,Gold,Unclear,N,N,N,N,N,N,N,Y,N,,CI,"Determine the bioavailability of heavy metals to juvenile Tanner crabs held for 500+ days on weathered mine tailings and to examine possible effects on survival, growth, and health of the animals. In addition, baseline information is scarce on metal concentrations in juvenile Tanner crabs.",Control,Lab Experiment,ex situ,Tanner crabs (Chionoecetes bairdi),Environmental,4-Biodiversity,4B-Fauna,4B-Individual species,Bioavailability of heavy metals on weathered mine tailings,no,N/A,N/A,Survival; Growth; Metal concentrations,Growth/condition/survival,Quantitative,Table 1-3,,"http://scholar.google.co.uk/scholar?q=Survival,+growth,+and+bioaccumulation+of+heavy+metals+by+juvenile+tanner+crabs+(Chionoecetes+bairdi)&btnG=&hl=en&as_sdt=0%2C5"
8,AS/JT,,"Ermakov VV, Korobova EM, Degtyarev AP, Tyutikov SF, Karpova EA, and Petrunina NS. 2016. Impact of natural and man-made factors on migration of heavy metals in the Ardon River basin (North Ossetia). J Soils Sediments. 16: 1253–1266","Ermakov VV, Korobova EM, Degtyarev AP, Tyutikov SF, Karpova EA, and Petrunina NS",Impact of natural and man-made factors on migration of heavy metals in the Ardon River basin (North Ossetia),2016,Article,Journal of Soils Sediments,Russia,North Ossetia,Ardon River,Misur,43.23833,44.31444,Misur,Multiple,Lead; Zinc,Lead; Zinc,Unclear,N,N,N,Y,N,N,N,N,N,,BACI,"Biogeochemical studies of the area were performed in 2001, 2003, and 2008 to reveal the impact of environmental and technogenic factors on chemical composition of the main components of the Pb-Zn natural biogeochemical province and its dynamics.",Reference site/population,Field + Lab analysis,in situ,Repeated soil sampling,Environmental,1-Soil/Geology,1A-Soil surface,1A-Quality,Contamination of the area by heavy metals during natural and technogenic events.,no,N/A,N/A,Concentration of heavy metals in soils,Metal concentration,Quantitative,Section 4.3,,http://scholar.google.co.uk/scholar?q=Impact+of+natural+and+man-made+factors+on+migration+of+heavy+metals+in+the+Ardon+River+basin+(North+&btnG=&hl=en&as_sdt=0%2C5
8,AS/JT,,"Ermakov VV, Korobova EM, Degtyarev AP, Tyutikov SF, Karpova EA, and Petrunina NS. 2016. Impact of natural and man-made factors on migration of heavy metals in the Ardon River basin (North Ossetia). J Soils Sediments. 16: 1253–1266","Ermakov VV, Korobova EM, Degtyarev AP, Tyutikov SF, Karpova EA, and Petrunina NS",Impact of natural and man-made factors on migration of heavy metals in the Ardon River basin (North Ossetia),2016,Article,Journal of Soils Sediments,Russia,North Ossetia,Ardon River,Misur,43.23833,44.31444,Misur,Multiple,Lead; Zinc,Lead; Zinc,Unclear,N,N,N,Y,N,N,N,N,N,,BACI,"Biogeochemical studies of the area were performed in 2001, 2003, and 2008 to reveal the impact of environmental and technogenic factors on chemical composition of the main components of the Pb-Zn natural biogeochemical province and its dynamics.",Reference site/population,Field + Lab analysis,in situ,Variation of heavy metal concentration in the averaged samples of meadow vegetation collected within the ore deposit areas and downstream the Ardon River valley,Environmental,4-Biodiversity,4A-Flora,4A-Species groups,Contamination of the area by heavy metals during natural and technogenic events.,no,N/A,N/A,Variation of heavy metal concentration of meadow vegetation,Metal concentration,Quantitative,Section 4.4,,http://scholar.google.co.uk/scholar?q=Impact+of+natural+and+man-made+factors+on+migration+of+heavy+metals+in+the+Ardon+River+basin+(North+&btnG=&hl=en&as_sdt=0%2C5
8,AS/JT,,"Ermakov VV, Korobova EM, Degtyarev AP, Tyutikov SF, Karpova EA, and Petrunina NS. 2016. Impact of natural and man-made factors on migration of heavy metals in the Ardon River basin (North Ossetia). J Soils Sediments. 16: 1253–1266","Ermakov VV, Korobova EM, Degtyarev AP, Tyutikov SF, Karpova EA, and Petrunina NS",Impact of natural and man-made factors on migration of heavy metals in the Ardon River basin (North Ossetia),2016,Article,Journal of Soils Sediments,Russia,North Ossetia,Ardon River,Misur,43.23833,44.31444,Misur,Multiple,Lead; Zinc,Lead; Zinc,Unclear,N,N,N,Y,N,N,N,N,N,,BACI,"Biogeochemical studies of the area were performed in 2001, 2003, and 2008 to reveal the impact of environmental and technogenic factors on chemical composition of the main components of the Pb-Zn natural biogeochemical province and its dynamics.",Reference site/population,Field + Lab analysis,in situ,Cattle living in the Ardon River basin were carried out to compare animals from the village of Mizur,Environmental,4-Biodiversity,4B-Fauna,4B-Individual species,Contamination of the area by heavy metals during natural and technogenic events.,no,N/A,N/A,Lead concentration in cow hair,Metal concentration,Quantitative,Section 4.5,,http://scholar.google.co.uk/scholar?q=Impact+of+natural+and+man-made+factors+on+migration+of+heavy+metals+in+the+Ardon+River+basin+(North+&btnG=&hl=en&as_sdt=0%2C5
8,AS/JT,,"Ermakov VV, Korobova EM, Degtyarev AP, Tyutikov SF, Karpova EA, and Petrunina NS. 2016. Impact of natural and man-made factors on migration of heavy metals in the Ardon River basin (North Ossetia). J Soils Sediments. 16: 1253–1266","Ermakov VV, Korobova EM, Degtyarev AP, Tyutikov SF, Karpova EA, and Petrunina NS",Impact of natural and man-made factors on migration of heavy metals in the Ardon River basin (North Ossetia),2017,Article,Journal of Soils Sediments,Russia,North Ossetia,Ardon River,Misur,43.23833,44.31444,Misur,Multiple,Lead; Zinc,Lead; Zinc,Unclear,N,N,N,Y,N,N,N,N,N,,BACI,"Biogeochemical studies of the area were performed in 2001, 2003, and 2008 to reveal the impact of environmental and technogenic factors on chemical composition of the main components of the Pb-Zn natural biogeochemical province and its dynamics.",Reference site/population,Field + Lab analysis,in situ,Amphibians,Environmental,4-Biodiversity,4B-Fauna,4B-Species groups,Contamination of the area by heavy metals during natural and technogenic events.,no,N/A,N/A,"Concentration of Pb, Zn, Cu, Cd",Metal concentration,Quantitative,In text page 1264,,http://scholar.google.co.uk/scholar?q=Impact+of+natural+and+man-made+factors+on+migration+of+heavy+metals+in+the+Ardon+River+basin+(North+&btnG=&hl=en&as_sdt=0%2C5
96,AS,,"Vinokurov SF, Gurbanov AG, Bogatikov OA, Karamurzov BS, Gazeev VM, Lexin AB, Shevchenko, Dolov SM, and Dubarov ZI. 2016. Contents, seasonal variations, and forms of migration of major and minor elements in surface waters in the area of the Tyrnyauz Tungsten-Molybdenum Combine (TTMC) and adjacent areas (Kabardino-Balkarian Republic, Russian Federation) and actions for recovery of the ecological environment. Doklady Earth Sciences. 467 (part 2): 346-349","Vinokurov SF, Gurbanov AG, Bogatikov OA, Karamurzov BS, Gazeev VM, Lexin AB, Shevchenko, Dolov SM, and Dubarov ZI","Contents, seasonal variations, and forms of migration of major and minor elements in surface waters in the area of the Tyrnyauz Tungsten-Molybdenum Combine (TTMC) and adjacent areas (Kabardino-Balkarian Republic, Russian Federation) and actions for recovery of the ecological environment",2016,Article,Doklady Earth Sciences,Russia,KabardinoBalkarian Republic,Tyrnyauz,Tyrnyauz,43.394721,42.9127363,Tyrnyauz,Molybdenum,N/A,Molybdenum,Surface mine,N,N,N,Y,N,N,N,N,N,,CI,Sampled the surface water in the area of the Tyrnyauz Tungsten–Molybdenum Combine and in the adjacent territories to determine major pollutants for water of the Baksan River,Reference site/population,Field + Lab analysis,in situ,Surface waters of the Baksan River basin,Environmental,2-Water,2A-Surface water,2A-Quality ,Tyrnyauz Tungsten–Molybdenum Combine,no,N/A,N/A,Concentration of major and minor elements,Metal concentration,Quantitative,Table 1,,"http://scholar.google.co.uk/scholar?q=Contents,+seasonal+variations,+and+forms+of+migration+of+major+and+minor+elements+in+surface+waters+&btnG=&hl=en&as_sdt=0%2C5"
68,AS,,"Gromova VA, Shestakova TV and Lipatnikova OA. 2016. Ecological-geochemical evaluation of the state of surface water streams in the impact area of the tailing dump of the Urupsky Ore Mining. Moscow University Geology Bulletin. 71(6): 407-415","Gromova VA, Shestakova TV and Lipatnikova OA",Ecological-geochemical evaluation of the state of surface water streams in the impact area of the tailing dump of the Urupsky Ore Mining,2016,Article,Moscow University Geology Bulletin,Russia,Karachay-Cherkessia,Bogachukha and Urup Rivers,Urupsky,43.8149258,41.1709023,Urupsky,Copper,N/A,Copper,Unclear,N,N,N,N,N,N,N,Y,N,,CI,Ecological-geochemical evaluation of the state of surface water streams in the impact area of the tailing dump of an ore mining and dressing plant,Background values,Field + Lab analysis,in situ,Samples of water,Environmental,2-Water,2A-Surface water,2A-Quality ,Impact area of the abandoned tailing dump of the Urupsky Ore Mining,no,N/A,N/A,"Concentrations of Cu, Zn, and Cd in the water of the Bogachukha River",Metal concentration,Quantitative,Table 2,,http://scholar.google.co.uk/scholar?q=Ecological-geochemical+evaluation+of+the+state+of+surface+water+streams+in+the+impact+area+of+the+ta&btnG=&hl=en&as_sdt=0%2C5
